Subject,Description,,,,,
R Setup & First Commands,Install R & RStudio, explore IDE, run first commands. Resource: https://www.r-project.org/,,,
Basic Syntax,Learn variables, arithmetic, logical operations. Practice: x <- 5; x + 3; x > 2,,,
Data Types,Vectors, factors, lists, matrices. Exercises: c(), list(), matrix()
Data Frames,Creating, inspecting, subsetting data frames. Practice with sample biological dataset.,,,
Import/Export Data,Read/write CSV, Excel files using read.csv, readxl. Explore head(), glimpse(),,
Basic Plotting,Create plot(), hist(), boxplot(), barplot() using a sample dataset,,
Practice: Week 1,Summarize a dataset and create basic plots,,,,,
Dplyr Basics,Learn filter(), select(), mutate(), arrange(), summarize() using a biological dataset,
Tidyr Basics,Learn pivot_longer(), pivot_wider(), separate(), unite() to tidy data,,
Data Cleaning,Handle NAs, duplicates, type conversion. Practice with messy dataset,,,
Ggplot2 Basics,Create scatter, line, bar plots. Add colors and labels,,,
Ggplot2 Advanced,Facets, custom themes, aesthetic mappings,,,
Practice: Week 2,Visualize a real dataset: infection rates or gene expression,,,,,
Mini Project: Week 2,Import a dataset and summarize key features with plots,,,,,
Descriptive Statistics,Mean, median, sd, quantiles, correlation analysis,
Hypothesis Testing,T-tests, paired/unpaired, chi-square tests on sample datasets,,,
ANOVA & Post-hoc,Perform aov() and interpret results. Example: gene expression across conditions,,,,,
Linear Regression,Simple linear regression and interpretation. Practice with biological measurements,,,,,
Logistic Regression,Binary outcomes, example: infection yes/no. Fit glm() with family=binomial,,,,
Practice: Week 3,Analyze dataset: gene expression vs condition, summarize statistics,,,,
Mini Project: Week 3,Summarize & visualize statistical relationships in a small dataset,,,,,
Introduction to Bioconductor,Install Bioconductor packages, explore gene expression datasets,,,,
Infection Biology / Epidemiology,Use tidyverse + epiR or survival packages for infection data analysis,,,,,
Neuroscience / Psychiatry Data,Analyze time-series or behavioral datasets. Example: neural signals or cognitive scores,,,,,
Basic Modeling,Fit linear/logistic models on biological datasets. Interpret results,,,,,
Network Analysis,Introduction to igraph for gene or neural networks,,,,,
Reproducible Workflows,R Markdown, scripts, organizing projects for reproducibility,,,
Capstone Mini-Project,Choose dataset (infection rates or gene expression), clean data, summarize, visualize, fit simple model,
